dhatu,arth,roop
गुहू,संवरणे,गूह
रञ्ज,रागे,रज
षस्ज,गतौ,सज्ज
पण,व्यवहारे स्तुतौ च,पणायति/पणते
गुप,गोपने,जुगुप्सते/गोपय
तिज,निशाने,तितिक्षते/तेजय
कित,निवासे रोगापनयने च,चिकित्सति/केतय
मान,पूजायाम्,मीमांसते/मानय
बध,बन्धने,बीभत्सते/बाध
दान,खण्डने,दीदांस/दानय
शान,तेजने,शीशांस/शानय
लष,कान्तौ,लष/लष्य
क्रमु,पादविक्षेपे,क्रमते/क्रामति/क्राम्यति
गुपू,रक्षणे,गोपायति
धूप,सन्तापे,धूपायति
पन,स्तुतौ,पनायति
गम्लृ,गतौ,गच्छति
यम,उपरमे,यच्छति
पा,पाने,पिबति
घ्रा,गन्धोपादाने,जिघ्रति
ध्मा,शब्दाग्निसंयोगयोः,धमति
ष्ठा,गतिनिवृत्तौ,तिष्ठति
म्ना,अभ्यासे,मनति
दाण्,दाने,यच्छति
दृशिर्,प्रेक्षणे,पश्यति
ऋ,गतिप्रापणयोः,ऋच्छति
सृ,गतौ,धावति
षद्लृ,विशरणगत्यवसादनेषु,सीदति
दंश,दंशने,दशति
षञ्ज,सङ्गे,सजति
आङ,चमु अदने,आचामति
ष्ठिवु,निरसने,ष्ठीवति
अक्षू,व्याप्तौ,अक्षति
तक्षू,तनूकरणे,तक्षति
भ्रमु,चलने,भ्रमति/भ्रम्यति
कमु,कान्तौ,कामयते
शद्लृ,शातने,शीयते
ष्वञ्ज,परिष्वङ्गे,स्वजते
जभी,गात्रविनामे,जम्भते
कृपू,सामर्थ्ये,कल्पते
टुभ्राशृ,दीप्तौ,भ्राशते/भ्राश्यते
टुभ्लाशृ,दीप्तौ,भ्लाशते/भ्लाश्यते
